status,cleaned_line,reasons,record_ids_sample,raw_titles_sample
high_confidence,Ability Commerce,proper_short,4425,Ability Commerce
high_confidence,abilways.com,domain,4407,abilways.com
high_confidence,abiom.nl,domain,1373,abiom.nl
high_confidence,ABITL Finishing,proper_short,15708,ABITL Finishing
high_confidence,Able One a Quadbridge Company,legal_suffix,9738,Able One a Quadbridge Company
high_confidence,ablinc.com,domain,10985,ablinc.com
high_confidence,abmenviro.ca,domain,15601,www.abmenviro.ca
high_confidence,abro.se,domain,5865,abro.se
high_confidence,ABS Auto Auctions,org_term,7346,ABS Auto Auctions
high_confidence,Absolute Machine Tools,proper_short,13476,Absolute Machine Tools
high_confidence,absolutecal.co.uk,domain,6640,absolutecal.co.uk
high_confidence,ABSOLUTERESULTS.COM,domain,1137,ABSOLUTERESULTS.COM
high_confidence,abtexelgroup.com,domain,10287;10430,abtexelgroup.com\$222.6M\Netherlands\1TB\&lt;1%DISCLOSED || abtexelgroup.com\$222.6M\Netherlands\1TB\&lt;1%DISCLOSED\DATA SALE
high_confidence,abvalve.com,domain,1380,abvalve.com
high_confidence,abzarsara.com,domain,7719,abzarsara.com
high_confidence,acac.com,domain,3257;3369;9392,acac.com || acac.com || acac.com
high_confidence,academia21.com,domain,6923,academia21.com
high_confidence,Academy Mortgage Corporation,legal_suffix,6120,Academy Mortgage Corporation
high_confidence,Acadian Ambulance (US),proper_short,12240,Acadian Ambulance (US)
high_confidence,Accelon Technologies Private,org_term,12371,Accelon Technologies Private
high_confidence,Accelya,proper_short,3589,Accelya
high_confidence,accenture.com,domain,775,accenture.com
high_confidence,Access Capital Partners SA,legal_suffix,14803,Access Capital Partners SA
high_confidence,Access to the large database of a US Medical organization,org_term,8741,Access to the large database of a US Medical organization
high_confidence,accesscontrolsecurity.com,domain,5919,accesscontrolsecurity.com
high_confidence,accessfinanceonline.com,domain,15600,www.accessfinanceonline.com
high_confidence,accionplus.com,domain,3667,accionplus.com
high_confidence,"Accipiter Capital Management, LLC",legal_suffix,10645,"Accipiter Capital Management, LLC"
high_confidence,Accolent ERP Software,org_term,14551,Accolent ERP Software
high_confidence,Account Closures,proper_short,10059,Account Closures
high_confidence,Accounting & Advisory Services,org_term,14028,"Accounting & Advisory Services,"
high_confidence,"Accounting Professionals LLC. Price, Breazeale & Chastang",legal_suffix,11167,"Accounting Professionals LLC. Price, Breazeale &#038; Chastang"
high_confidence,Accounting Resource Group,org_term,13369,Accounting Resource Group
high_confidence,Accounts IQ,proper_short,131,Accounts IQ
high_confidence,ACCSC,uppercase_short,5142,ACCSC
high_confidence,ACCU Reference Medical Lab,org_term,9140,ACCU Reference Medical Lab
high_confidence,accudo.co.uk,domain,6129,https://accudo.co.uk
high_confidence,Acculabs Inc,legal_suffix,10515,Acculabs Inc
high_confidence,Accurate Auto Insurance,org_term,6240,Accurate Auto Insurance
high_confidence,accuratelockandhardware.com,domain,11746,accuratelockandhardware.com
high_confidence,accuraterailroad.com,domain,13017,accuraterailroad.com
high_confidence,Accuride,proper_short,7935,Accuride
high_confidence,accuro.co.nz,domain,4597,accuro.co.nz
high_confidence,ACCUZIP.COM,domain,5417,ACCUZIP.COM
high_confidence,ACDC Express,proper_short,15447,ACDC Express
high_confidence,acdcexpress.com,domain,13261,acdcexpress.com
high_confidence,ACE Air Cargo,proper_short,10428,ACE Air Cargo
high_confidence,ACE Glass,proper_short,514,ACE Glass
high_confidence,Ace Laboratories Limited,legal_suffix,14206,Ace Laboratories Limited
high_confidence,Ace Micromatic Group,org_term,7079,Ace Micromatic Group
high_confidence,ACEA Energia,proper_short,5267,ACEA Energia
high_confidence,aceaircargo.com,domain,9379,aceaircargo.com
high_confidence,ACENURSING.ORG,domain,5340,ACENURSING.ORG
high_confidence,ACER FINANCE,org_term,158,ACER FINANCE
high_confidence,Acer.com Leaked Data 100% Fresh,org_term,658,Acer.com Leaked Data 100% Fresh
high_confidence,Acero Engineering,org_term,9142,Acero Engineering
high_confidence,Aceromex,proper_short,8731;8877;10588,Aceromex (Unpay-Start Leaking) || Aceromex (Unpay-Full public) || Aceromex
high_confidence,aces-int.com,domain,8597,aces-int.com
high_confidence,acfin.cl,domain,11405;11475,acfin.cl\$25.1M\Chile\460GB\&lt;1%DISCLOSED || acfin.cl\$25.1M\Chile\460GB\100%DISCLOSED
high_confidence,ach.co.th,domain,12413,ach.co.th
high_confidence,ACI Advanced Chemica l Industries,org_term,6514,ACI Advanced Chemica l Industries
high_confidence,Acies Srl,legal_suffix,10182,Acies Srl
high_confidence,acimfunds.com,domain,15755,acimfunds.com
high_confidence,Ackerman Plumbing | Ackerman Plumbing Inc,legal_suffix;proper_short,2612;2870,Ackerman Plumbing || Ackerman Plumbing Inc
high_confidence,Ackerman-Estvold,proper_short,8764,Ackerman-Estvold
high_confidence,ackermanplumbinginc.com,domain,4336,www.ackermanplumbinginc.com
high_confidence,ackmo.be,domain,2129,ackmo.be
high_confidence,acla-werke.com,domain,11286,acla-werke.com
high_confidence,acla.de,domain,11430,acla.de
high_confidence,aclara.com,domain,7576,aclara.com
high_confidence,aclaser.com.au,domain,14207,aclaser.com.au
high_confidence,acmefan.com,domain,15283,acmefan.com
high_confidence,Acne Studios,proper_short,1484,Acne Studios
high_confidence,acolea.org,domain,7633,acolea.org
high_confidence,Acorn,proper_short,10214,Acorn
high_confidence,Acorn Recruitment,proper_short,3173,Acorn Recruitment
high_confidence,Acorn Sales,proper_short,16032,Acorn Sales
high_confidence,Acorn Stairlifts,proper_short,1238,Acorn Stairlifts
high_confidence,Acos Favorit,proper_short,15804,Acos Favorit
high_confidence,Acoustiblok,proper_short,14896,Acoustiblok
high_confidence,Acoustic Center,org_term,8212;8405,Acoustic Center || Acoustic Center
high_confidence,acquafertil.com.br,domain,14699,acquafertil.com.br
high_confidence,Acquarius Trust Group,org_term,4448,Acquarius Trust Group
high_confidence,ACS,uppercase_short,4941;10013,ACS || ACS
high_confidence,acsi.org,domain,12495,https://www.acsi.org/
high_confidence,acsistemas.com,domain,11213,acsistemas.com
high_confidence,acslabtest.com,domain,11760;11829,www.acslabtest.com || acslabtest.com/
high_confidence,Acteon Group,org_term,11722,Acteon Group
high_confidence,ACTi Corporation,legal_suffix,15481,ACTi Corporation
high_confidence,Actief-Jobmade,proper_short,871,Actief-Jobmade
high_confidence,Action Heating & Cooling,proper_short,13558,Action Heating & Cooling
high_confidence,actionfirepros.com,domain,13151;13368,actionfirepros.com\$17.4M\USA\407GB\&lt;1% DISCLOSED || actionfirepros.com\$17.4M\USA\407GB\100% DISCLOSED
high_confidence,ACTIVA Group,org_term,7104,ACTIVA Group
high_confidence,Active Business & Technology,org_term,191,Active Business & Technology
high_confidence,Active Communications International,org_term,3088,Active Communications International
high_confidence,Active Concepts,proper_short,10471,Active Concepts
high_confidence,Active Dynamics,proper_short,14508,Active Dynamics
high_confidence,Active-PCB,proper_short,11183,Active-PCB
high_confidence,Acuity Brands,proper_short,1937,Acuity Brands
high_confidence,acuity.co.uk,domain,13200,www.acuity.co.uk
high_confidence,acumengroup.us,domain,14473,acumengroup.us
high_confidence,acutis.com,domain,9533,acutis.com\$62.2M\USA\137GB\&lt;1%DISCLOSED
high_confidence,acwlaw.com,domain,14591,acwlaw.com
high_confidence,AD Consulting Group,org_term,3534,AD Consulting Group
high_confidence,ad.bennetts.com.au,domain,10068,ad.bennetts.com.au
high_confidence,ad.jamailconstruction.com,domain,10069,ad.jamailconstruction.com
high_confidence,ADA,uppercase_short,2850,ADA
high_confidence,Ada-Borup-West School,org_term,8509,Ada-Borup-West School
high_confidence,adachikan.com,domain,10870,adachikan.com
high_confidence,adamjeeinsurance.com,domain,4397,adamjeeinsurance.com
high_confidence,AdaptIT,proper_short,3386,AdaptIT
high_confidence,adaresec.com,domain,7691,adaresec.com
high_confidence,ADATA corporation,legal_suffix,649,ADATA corporation Leak
high_confidence,addconsult.nl,domain,3443,addconsult.nl
high_confidence,addison-electronique.com,domain,7044,www.addison-electronique.com
high_confidence,AddWeb Solution Pvt,org_term,5161,AddWeb Solution Pvt
high_confidence,ADH Health Products Inc,legal_suffix,8856,ADH Health Products Inc
high_confidence,adhhealth.com,domain,1447,adhhealth.com - more then 1.2Tb data leaaked
high_confidence,Adina Design,org_term,12603,Adina Design
high_confidence,adioscancer.com,domain,9950,adioscancer.com
high_confidence,ADIVA CO. LTD,legal_suffix,4744,ADIVA CO. LTD
high_confidence,Adler Display | adlerdisplay.com,"domain,proper_short",3343;3343,adlerdisplay.com | Adler Display || adlerdisplay.com | Adler Display
high_confidence,adlinktech.com,domain,966,adlinktech.com
high_confidence,Admilla ELAP,proper_short,8867,Admilla ELAP
high_confidence,ADMIN_2,uppercase_short,5354,ADMIN_2
high_confidence,Admiral Merchants,proper_short,3855,Admiral Merchants
high_confidence,ADMIRAL Sportwetten,proper_short,4836,ADMIRAL Sportwetten
high_confidence,Adore Fashions,proper_short,997,Adore Fashions
high_confidence,Adorna & Guzman Dentistry,proper_short,12496,Adorna & Guzman Dentistry
high_confidence,adsage.com,domain,7918,www.adsage.com
high_confidence,Adsboll,proper_short,6391,Adsboll
high_confidence,adstradata.com,domain,6460,adstradata.com
high_confidence,Adval Tech,org_term,15437,Adval Tech
high_confidence,Advance America,proper_short,5394,Advance America
high_confidence,Advance Corporation,legal_suffix,3673,Advance Corporation
high_confidence,Advance2000,proper_short,4952,Advance2000
high_confidence,Advanced Accounting & Business Advisory,proper_short,13639,Advanced Accounting & Business Advisory
high_confidence,Advanced Business Networks,org_term,11116,Advanced Business Networks
high_confidence,Advanced Fiberglass Industries,org_term,6846,Advanced Fiberglass Industries
high_confidence,Advanced Geosciences,proper_short,1978,Advanced Geosciences
high_confidence,advancedprosolutions.com,domain,10065;10255,advancedprosolutions.com\$5M\USA\54GB\&lt;1%DISCLOSED || advancedprosolutions.com\$5M\USA\54GB\100%DISCLOSED
high_confidence,Advantage Direct Care,org_term,2873,Advantage Direct Care
high_confidence,Advantage Group International,org_term,9260,Advantage Group International
high_confidence,Advantage Orthopedic and Sports Medicine Clinic,org_term,9977,Advantage Orthopedic and Sports Medicine Clinic
high_confidence,Advantage Resourcing,proper_short,6166,Advantage Resourcing
high_confidence,advantagecdc.org,domain,13016,advantagecdc.org
high_confidence,advantagedirectcare.com,domain,4331,www.advantagedirectcare.com
high_confidence,advantecmfs.com,domain,918,advantecmfs.com
high_confidence,"Advarra Inc.(PFIZER,GILEAD ETC AFFECTED)",legal_suffix,8622,"Advarra Inc.(PFIZER,GILEAD ETC AFFECTED)"
high_confidence,Advarra | Advarra Inc,legal_suffix;proper_short,8621;8717,Advarra Inc. || Advarra leak
high_confidence,advbe.com,domain,13075,advbe.com
high_confidence,adven.com,domain,4239,http://www.adven.com
high_confidence,adveo.com,domain,14572;14751,adveo.com\$740.7M\France\1.1TB\&lt;1% DISCLOSED || adveo.com\$740.7M\France\1.1TB\100% DISCLOSED
high_confidence,Advizrs,proper_short,2685,Advizrs
high_confidence,advokatur-bl.ch,domain,14603,http://www.advokatur-bl.ch
high_confidence,adyne.com,domain,8862,adyne.com
high_confidence,aeamg.org.br,domain,15782,aeamg.org.br
high_confidence,Aebel,proper_short,544,Aebel
high_confidence,AECOM,uppercase_short,1326,AECOM
high_confidence,aedifica.com,domain,12078;12212,aedifica.com || aedifica.com/
high_confidence,aegea.com.br,domain,4645,https://www.aegea.com.br
high_confidence,aegean.gr,domain,8813,aegean.gr
high_confidence,Aegle Aviation,org_term,16410;16421;16432;16443;16454;16465;16476;16487;16498;16509;16520;16531;16542;16553;16564;16575;16586;16597;16608;16619,Aegle Aviation || Aegle Aviation || Aegle Aviation || Aegle Aviation || Aegle Aviation
high_confidence,aei.cc,domain,8785,aei.cc
high_confidence,aek.mk,domain,5681,aek.mk
high_confidence,aercap.com,domain,9582,aercap.com
high_confidence,Aeris Energy,org_term,14189,Aeris Energy
high_confidence,Aero Tec Laboratories,org_term,11407,Aero Tec Laboratories
high_confidence,aerodynamicinc.com,domain,10756;10957,"aerodynamicinc.com\$22,6M\USA\1.1TB\&lt;1% DISCLOSED || aerodynamicinc.com\$22,6M\USA\1.1TB\100% DISCLOSED"
high_confidence,aeromechinc.com,domain,10018;10254,aeromechinc.com || aeromechinc.com
high_confidence,Aeronamic,proper_short,2092,Aeronamic
high_confidence,Aeronautics company Canada,legal_suffix,4253,Aeronautics company Canada
high_confidence,Aeronautics company Canada / Production of parts for aircraft engines,legal_suffix,4308,Aeronautics company Canada / Production of parts for aircraft engines
high_confidence,aeroportlleida.cat,domain,7979,aeroportlleida.cat
high_confidence,Aeroproductsco,proper_short,4467,Aeroproductsco
high_confidence,aerospace.com,domain,10334,aerospace.com
high_confidence,Aerotech Precision Manufacturing,org_term,4184,Aerotech Precision Manufacturing
high_confidence,aerotecnic.com,domain,13543;13687,http://www.aerotecnic.com || http://aerotecnic.com
high_confidence,Aerowind,proper_short,5731,Aerowind
high_confidence,AES Clean Technology,org_term,3893,AES Clean Technology
high_confidence,Aesthetic Dermatology Associates,org_term,3918,Aesthetic Dermatology Associates
high_confidence,aetnabridge.com,domain,2382,aetnabridge.com
high_confidence,afasd.net,domain,4442,https://afasd.net
high_confidence,afcx.co,domain,1493,afcx.co
high_confidence,AFD,uppercase_short,14434,AFD
high_confidence,Affiliate Leaks,proper_short,10058,Affiliate Leaks
high_confidence,Affinity Education,org_term,487,Affinity Education
high_confidence,affinityhealthservices.ne,domain,6872,affinityhealthservices.ne
high_confidence,affinityhealthservices.net,domain,6342,affinityhealthservices.net
high_confidence,Affirm Agency,org_term,13163,Affirm Agency
high_confidence,Affordable Payroll & Bookkeeping Services,org_term,11202,Affordable Payroll & Bookkeeping Services
high_confidence,Affordable Tools,proper_short,12763,Affordable Tools
high_confidence,Affton School District,org_term,381,Affton School District
high_confidence,AFG Canada,proper_short,1960,AFG Canada
high_confidence,afgholdings.com,domain,6353,http://www.afgholdings.com
high_confidence,AFJCONSULTING.NET,domain,2677,AFJCONSULTING.NET
high_confidence,aflak.com.sa,domain,14468,www.aflak.com.sa
high_confidence,afnigc.ca,domain,15635,www.afnigc.ca
high_confidence,AFP Elevator,proper_short,371,AFP Elevator
high_confidence,AFTA Isfahan,proper_short,7355,AFTA Isfahan
high_confidence,Aftrp,proper_short,10009,Aftrp
high_confidence,"AFTS supplies the preeminent Payment Processing, IRS 1031 Exchange, Data Processing, Invoi",org_term,612,"AFTS supplies the preeminent Payment Processing, IRS 1031 Exchange, Data Processing, Invoi"
high_confidence,Agamatrix,proper_short,9071,Agamatrix
high_confidence,agapefrance.org,domain,13262,agapefrance.org
high_confidence,agapemeanslove.org,domain,2995,agapemeanslove.org
high_confidence,AGAS,uppercase_short,13680,AGAS Hacked
high_confidence,Agate Construction,org_term,10899,Agate Construction
high_confidence,AGCO,uppercase_short,3110,AGCO
high_confidence,Agencia Host <agenciahost.com>,proper_short,10815,Agencia Host <agenciahost.com>
high_confidence,Agencia Tributaria AEAT,proper_short,14309,Agencia Tributaria AEAT
high_confidence,agenciahost.com,domain,11796,www.agenciahost.com
high_confidence,The Agency,org_term,15131,The Agency
high_confidence,agenilsen.no,domain,2918,agenilsen.no
high_confidence,Agensi Kaunseling dan Pengurusan Kredit (Credit Consulting and Management Agency of Malays,org_term,5903,Agensi Kaunseling dan Pengurusan Kredit (Credit Consulting and Management Agency of Malays
high_confidence,agenziaentrate.gov.it,domain,3474,agenziaentrate.gov.it
high_confidence,ageroute.sn,domain,8611,ageroute.sn
high_confidence,agi.net,domain,15431,agi.net
high_confidence,Agile Property Holdings,org_term,319,Agile Property Holdings
high_confidence,Agile Sourcing Partners,org_term,3082,Agile Sourcing Partners
high_confidence,agiledisplaysolutions.com,domain,8677,www.agiledisplaysolutions.com
high_confidence,Agilitas IT Solutions Limited,legal_suffix,8032;8090,Agilitas IT Solutions Limited || Agilitas IT Solutions Limited
high_confidence,agilysys.com,domain,7330,agilysys.com
high_confidence,AGL,uppercase_short,10540,AGL
high_confidence,aglweldingsupply.com,domain,9311,aglweldingsupply.com
high_confidence,agmfinancial.co,domain,853,agmfinancial.co...
high_confidence,agnesb.eu,domain,9508,agnesb.eu
high_confidence,Agoravita,proper_short,6974,Agoravita
high_confidence,agostini.com,domain,4695,http://www.agostini.com
high_confidence,agp.ph,domain,5686,agp.ph
high_confidence,agra-services.be,domain,12800,agra-services.be
high_confidence,agranibank.org,domain,11448,agranibank.org
high_confidence,agribank.com.na,domain,10518,agribank.com.na
high_confidence,agribazaar.com,domain,10869,agribazaar.com
high_confidence,Agricorp Company,legal_suffix,1297,Agricorp Company
high_confidence,Agriloja pt.3,proper_short,7589,Agriloja pt.3
high_confidence,Agriloja.pt,domain,7243,Agriloja.pt
high_confidence,Agriloja.pt demo,proper_short,7314,Agriloja.pt demo-leak
high_confidence,Agriloja.pt Full,proper_short,8014,Agriloja.pt Full Leak
high_confidence,agriobtentions.com,domain,4606,agriobtentions.com
high_confidence,agrofair.nl,domain,1679,agrofair.nl
high_confidence,agromatic.de,domain,8837,www.agromatic.de
high_confidence,AGSO,uppercase_short,116,AGSO
high_confidence,aguasdoporto.pt,domain,5021,aguasdoporto.pt
high_confidence,ah-a.de,domain,3568,ah-a.de
high_confidence,ah-babelsberg.net,domain,10070,ah-babelsberg.net
high_confidence,AHEC Tax Solutions,org_term,1724,AHEC Tax Solutions
high_confidence,ahmadiyya.ca,domain,15599,www.ahmadiyya.ca
high_confidence,ahn.org,domain,14270,ahn.org
high_confidence,AHT Global,org_term,261,AHT Global
high_confidence,AHT Wisconsin Windows,proper_short,4446,AHT Wisconsin Windows
high_confidence,AIC STEEL,org_term,332,AIC STEEL
high_confidence,AICHELIN UNITHERM,uppercase_short,5151,AICHELIN UNITHERM
high_confidence,aicsacorp.com,domain,8282,aicsacorp.com
high_confidence,aidsalabama.org,domain,3910,aidsalabama.org
high_confidence,aiibeauty.com,domain,15270;15489,aiibeauty.com\$274.8M\USA\508GB\&lt;1% DISCLOSED || aiibeauty.com\$274.8M\USA\508GB\100% DISCLOSED
high_confidence,AIIM,uppercase_short,3527,AIIM
high_confidence,Aiken Electric Cooperative,org_term,13750,Aiken Electric Cooperative
high_confidence,aikenhousing.org,domain,12512,https://aikenhousing.org/
high_confidence,aimtron.com,domain,6363,aimtron.com
high_confidence,aipcenergy.com,domain,3779,aipcenergy.com
high_confidence,Aiphone,proper_short,7763,Aiphone
high_confidence,aiq.com.mx,domain,8598,aiq.com.mx
high_confidence,Air Canada,proper_short,8385,Air Canada
high_confidence,Air Comfort (aircomfort.ac),proper_short,6571,Air Comfort (aircomfort.ac)
high_confidence,Air Comm Corporation,legal_suffix,4760,Air Comm Corporation
high_confidence,Air Sino-Euro Associates Travel Pte. Ltd,legal_suffix,9339,Air Sino-Euro Associates Travel Pte. Ltd
high_confidence,"AirAsia Group (MY, ID, TH)",org_term,4320,"AirAsia Group (MY, ID, TH)"
high_confidence,airbogo.com,domain,10368,www.airbogo.com
high_confidence,Aircod.com,domain,11583,Aircod.com
high_confidence,AIRCOMECHANICAL,uppercase_short,4455,AIRCOMECHANICAL
high_confidence,airedentalarts.com,domain,12451,http://airedentalarts.com
high_confidence,Aireko,proper_short,389,Aireko
high_confidence,airelec.bg,domain,7887,airelec.bg
high_confidence,Airspan Networks got,org_term,2006,Airspan Networks got Leaked
high_confidence,airtac.com,domain,6136,airtac.com
high_confidence,Airtech Advanced Materials Group,org_term,56,Airtech Advanced Materials Group
high_confidence,airtechthelong.com.vn,domain,9233,airtechthelong.com.vn
high_confidence,Airtel India,proper_short,663,2480000 Airtel India Customers Data
high_confidence,airtelligence.com,domain,15555,airtelligence.com
high_confidence,aisc-airbus.com,domain,1076,aisc-airbus.com
high_confidence,AISD,uppercase_short,1463,AISD
high_confidence,aisg-online.com,domain,9877,aisg-online.com
high_confidence,Aisha Steel-ASML,org_term,1417,Aisha Steel-ASML
high_confidence,"AIshu, Eshoo",proper_short,14883;14991;15265;15278,"AIshu, Eshoo || [EVIDANCE] AIshu, Eshoo || [EVIDENCE] Aishu, Eshoo || [DISCLOSED] Aishu, Eshoo"
high_confidence,AIUT,uppercase_short,13365,AIUT
high_confidence,ajcfood.com,domain,8889;12360,ajcfood.com || ajcfood.com
high_confidence,AJF Inspections & Engineering (),org_term,15669,AJF Inspections & Engineering ()
high_confidence,ajoomal.com,domain,7612,ajoomal.com
high_confidence,Ajuntament de Castelló,proper_short,603,Ajuntament de Castelló
high_confidence,ak.com.sa,domain,4779,ak.com.sa
high_confidence,akanea.com,domain,13263,akanea.com
high_confidence,AKBASOGLU HOLDING Trans KA,org_term,8412,AKBASOGLU HOLDING Trans KA
high_confidence,AKConstructors.com,domain,14800,AKConstructors.com
high_confidence,AKIJ GROUP,org_term,1862,AKIJ GROUP
high_confidence,The Akin Law LLC,legal_suffix,6644,The Akin Law LLC
high_confidence,AKJ Energiteknik,proper_short,16002,AKJ Energiteknik
high_confidence,Akkanat Holding,org_term,12696,Akkanat Holding
high_confidence,Akromold,proper_short,13592,Akromold
high_confidence,AKRON Mquinas Agrcolas,proper_short,6114,AKRON Mquinas Agrcolas
high_confidence,aktieinvest.se,domain,973,aktieinvest.se
high_confidence,AKTO,uppercase_short,15674;15799;15834,AKTO || AKTO || AKTO
high_confidence,Akumin,proper_short,9122,Akumin
high_confidence,ALAB laboratoria,proper_short,8958;9365;10584,ALAB laboratoria (Unpay) || ALAB laboratoria (Unpay-Full public) || ALAB laboratoria
high_confidence,Alabama Ophthalmology Associates,org_term,15222,Alabama Ophthalmology Associates
high_confidence,alabamaplate.com,domain,12771,www.alabamaplate.com
high_confidence,alaliengineering.net,domain,2494,alaliengineering.net
high_confidence,Alam Flora Sdn Bhd,legal_suffix,8571,Alam Flora Sdn Bhd
high_confidence,"Alan Ritchey, Inc. (ARI)",legal_suffix,10305,"Alan Ritchey, Inc. (ARI)"
high_confidence,Alan Smith,proper_short,3697,Alan Smith
high_confidence,alansarioman.com,domain,14712,alansarioman.com
high_confidence,albanesi.com.ar,domain,4984,albanesi.com.ar
high_confidence,Albany Bank and Trust Company - albanybank.com,legal_suffix,2066,Albany Bank and Trust Company - albanybank.com
high_confidence,albanybank.com,domain,13264,albanybank.com
high_confidence,albanyclinic.com.au,domain,5764,https://www.albanyclinic.com.au/
high_confidence,Albatros S.r.l,legal_suffix,12678,Albatros S.r.l.
high_confidence,albatross.co.in,domain,1691,albatross.co.in
high_confidence,Alber Law Group,org_term,10698,Alber Law Group
high_confidence,Albert Bartlett,proper_short,9803,Albert Bartlett
high_confidence,Albert Paper Company,legal_suffix,14559,Albert Paper Company
